user_id,request_id,mode,prompt_tokens,tokens_generated,tokens_effective,tokens_wasted,ttft,total_time,generation_tps,effective_tps,health_factor,network_rtt,network_capacity
1,user1_cf06bf69,baseline,10,79,32,47,0.02689504623413086,1.397172451019287,56.54276960755037,22.903400347362172,0.950565554724188,324,23.6
2,user2_90353705,baseline,12,80,80,0,0.025788545608520508,1.3936724662780762,57.402296404439255,57.402296404439255,0.969449991497946,31,75.9
1,user1_1344ff60,network_aware,10,80,33,47,0.024684667587280273,1.393486499786377,57.40995697645014,23.681607252785682,0.7248288747695242,322,23.7
2,user2_70ccd5e9,network_aware,12,80,80,0,0.02612924575805664,1.396960735321045,57.26717865238687,57.26717865238687,0.9533357424696935,30,76.3
1,user1_70dc87ed,baseline,10,79,17,62,0.01984429359436035,0.7327938079833984,107.8065878004659,23.19888598237874,0.9085797770386854,308,24.5
2,user2_27657262,baseline,12,80,50,30,0.019585132598876953,0.732501745223999,109.21475685431439,68.2592230339465,0.950769596417464,45,68.9
1,user1_8ec5d4e4,network_aware,10,80,18,62,0.017496347427368164,0.7324814796447754,109.21777850109855,24.574000162747172,0.9983791877343834,307,24.6
2,user2_84f6933f,network_aware,12,80,56,24,0.017972946166992188,0.7329223155975342,109.15208651380453,76.40646055966317,0.967823350629046,28,77.6
1,user1_4723c4f1,baseline,10,79,18,61,0.025035381317138672,0.7476258277893066,105.66783150549945,24.07621477340494,0.999461981436935,303,24.8
2,user2_f365a828,baseline,12,80,57,23,0.024817466735839844,0.7473611831665039,107.04329018139128,76.26834425424128,0.974347961071782,29,77.0
1,user1_96d9e2f3,network_aware,10,79,18,61,0.017937183380126953,0.7418770790100098,106.48664345503265,24.262779521399846,0.9996931066286107,304,24.7
2,user2_70b5b15c,network_aware,12,79,58,21,0.026583433151245117,0.7496142387390137,105.38753924003932,77.37313007496557,0.9735330953132915,28,77.5
1,user1_10f65030,baseline,10,79,17,62,0.017351627349853516,0.7293639183044434,108.31355653519545,23.307980520231933,0.9993626742522642,323,23.6
2,user2_9281240d,baseline,12,80,45,35,0.025638103485107422,0.7370340824127197,108.54314869417681,61.055521140474454,0.9578074397868972,62,61.6
1,user1_63240339,network_aware,10,80,17,63,0.018266677856445312,0.7405219078063965,108.03191527037896,22.956781994955527,0.9977569321390812,314,24.1
2,user2_3358e299,network_aware,12,80,45,35,0.018514633178710938,0.7407917976379395,107.99255641745084,60.7458129848161,0.9504033943086599,63,61.0
1,user1_a922a4ba,baseline,10,79,16,63,0.018451690673828125,0.7386116981506348,106.95741781209712,21.66226183536144,0.997274657186269,344,22.5
2,user2_0c1a48bd,baseline,12,80,57,23,0.01869988441467285,0.7388272285461426,108.27971264327014,77.14929525832999,0.9563502412839036,27,78.3
1,user1_6c809184,network_aware,10,78,34,44,0.024007558822631836,1.3934226036071777,55.97727480383914,24.400350555519623,0.9964380130399038,307,24.5
2,user2_1e576f01,network_aware,12,79,79,0,0.025197982788085938,1.396549940109253,56.56797349747463,56.56797349747463,0.969973279039835,26,78.9
